1) a = 0.0; b = 4.0; C = 1.5278640450004204; G = 2.4721359549995796; f(C) = 16.626469891700086; f(G) = 114.21687419024484;
2) a = 0.0; b = 2.4721359549995796; C = 0.9442719099991588; G = 1.5278640450004204; f(C) = 2.388221791644089; f(G) = 16.626469891700086;
3) a = 0.0; b = 1.5278640450004204; C = 0.5835921350012616; G = 0.9442719099991588; f(C) = 0.5213792697395504; f(G) = 2.388221791644089;
4) a = 0.0; b = 0.9442719099991588; C = 0.3606797749978969; G = 0.5835921350012616; f(C) = 0.45950049641499574; f(G) = 0.5213792697395504;
5) a = 0.0; b = 0.5835921350012616; C = 0.22291236000336476; G = 0.3606797749978969; f(C) = 0.6112724647565895; f(G) = 0.45950049641499574;
6) a = 0.22291236000336476; b = 0.5835921350012616; C = 0.3606797749978969; G = 0.44582472000672957; f(C) = 0.45950049641499574; f(G) = 0.42562647329240966;
7) a = 0.3606797749978969; b = 0.5835921350012616; C = 0.44582472000672957; G = 0.49844718999242893; f(C) = 0.42562647329240966; f(G) = 0.436736834252725;
8) a = 0.3606797749978969; b = 0.49844718999242893; C = 0.4133022449835962; G = 0.44582472000672957; f(C) = 0.4317513873975439; f(G) = 0.42562647329240966;
9) a = 0.4133022449835962; b = 0.49844718999242893; C = 0.44582472000672957; G = 0.46592471496929555; f(C) = 0.42562647329240966; f(G) = 0.42661519589117847;
10) a = 0.4133022449835962; b = 0.46592471496929555; C = 0.43340223994616217; G = 0.44582472000672957; f(C) = 0.4268818027091415; f(G) = 0.42562647329240966;
13) a = 0.44582472000672957; b = 0.458247200067297; C = 0.4505696851652985; G = 0.4535022349087281; f(C) = 0.4255165555389438; f(G) = 0.42555319183449086;
Result: a:0.44582472000672957; b:0.4535022349087281; x:0.44966347745772883
